时间                 ,期数         ,开奖结果
2020-02-18 19:44:05,20200218080,"10,04,06,03,01,07,09,05,02,08"
2020-02-18 19:49:05,20200218081,"04,02,07,06,10,03,01,08,09,05"
2020-02-18 19:54:05,20200218082,"06,10,02,09,03,01,05,08,04,07"
2020-02-18 19:59:05,20200218083,"06,04,10,03,08,05,01,09,07,02"
2020-02-18 20:04:05,20200218084,"08,06,07,03,01,04,10,09,02,05"
2020-02-18 20:09:05,20200218085,"03,06,08,07,04,02,01,05,09,10"
2020-02-18 20:14:05,20200218086,"07,08,01,03,05,10,04,02,09,06"
2020-02-18 20:19:05,20200218087,"04,02,06,01,10,05,07,03,09,08"
2020-02-18 20:24:05,20200218088,"04,02,10,05,06,08,09,03,01,07"
2020-02-18 20:29:05,20200218089,"05,08,03,07,09,10,02,06,04,01"
2020-02-18 20:34:05,20200218090,"10,04,06,02,08,05,03,07,01,09"
2020-02-18 20:39:05,20200218091,"05,06,09,07,08,03,04,10,02,01"
2020-02-18 20:44:05,20200218092,"06,05,03,10,07,02,09,08,01,04"
2020-02-18 20:49:05,20200218093,"02,05,04,08,07,09,10,01,03,06"
2020-02-18 20:54:05,20200218094,"03,06,07,01,05,08,02,09,04,10"
2020-02-18 20:59:05,20200218095,"02,08,10,03,01,07,04,09,05,06"
2020-02-18 21:04:05,20200218096,"10,05,06,07,01,08,03,09,04,02"
2020-02-18 21:09:05,20200218097,"08,04,09,01,02,10,06,03,07,05"
2020-02-18 21:14:05,20200218098,"03,08,10,09,06,07,01,04,02,05"
2020-02-18 21:19:05,20200218099,"08,05,03,10,04,09,01,06,02,07"
2020-02-18 21:24:05,20200218100,"03,04,10,08,06,05,07,01,09,02"
2020-02-18 21:29:05,20200218101,"08,02,06,03,05,10,07,01,04,09"
2020-02-18 21:34:05,20200218102,"04,01,08,09,07,06,03,10,02,05"
2020-02-18 21:39:05,20200218103,"06,02,08,01,03,10,04,09,07,05"
2020-02-18 21:44:05,20200218104,"09,06,02,05,04,01,10,03,07,08"
2020-02-18 21:49:05,20200218105,"05,07,08,02,04,06,10,01,03,09"
2020-02-18 21:54:05,20200218106,"02,06,05,04,07,09,10,08,01,03"
2020-02-18 21:59:05,20200218107,"06,03,08,01,05,10,04,02,07,09"
2020-02-18 22:04:05,20200218108,"09,06,03,04,08,07,05,02,01,10"
2020-02-18 22:09:05,20200218109,"09,05,08,07,03,04,02,01,06,10"
2020-02-18 22:14:05,20200218110,"03,07,08,05,09,04,01,06,10,02"
2020-02-18 22:19:05,20200218111,"03,02,04,09,07,06,08,10,01,05"
2020-02-18 22:24:05,20200218112,"04,05,02,09,10,03,06,08,07,01"
2020-02-18 22:29:05,20200218113,"04,09,08,07,01,05,02,03,06,10"
2020-02-18 22:34:05,20200218114,"04,10,05,01,07,02,09,03,06,08"
2020-02-18 22:39:05,20200218115,"08,06,02,07,10,04,03,01,09,05"
2020-02-18 22:44:05,20200218116,"06,09,10,04,07,05,08,01,02,03"
2020-02-18 22:49:05,20200218117,"05,07,10,04,08,02,09,03,01,06"
2020-02-18 22:54:05,20200218118,"07,01,02,10,09,06,08,05,04,03"
2020-02-18 22:59:05,20200218119,"10,05,02,09,01,06,07,04,08,03"
2020-02-18 23:04:05,20200218120,"02,03,05,09,04,06,01,08,10,07"
